Category,Admissions,Male,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean length of stay,Median length of stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Day case,Bed days,Year
"F20-F29 Schizophrenia, schizotypal and delusional disorders",33208,24648,24534,1806,44.0,3.0,108.3,35.0,41,70,34105,3760.0,1757,16,2704799.0,2005
F30-F39 Mood [affective] disorders,43321,19019,31507,2380,29.0,3.0,48.2,25.0,51,146,31848,8725.0,7188,292,1954479.0,2005
"F40-F69 Neurotic, bahavioural & personality disorders",26301,11049,18607,2725,84.0,47.0,29.4,8.0,42,880,22774,3014.0,2572,1172,708466.0,2005
F70-F79 Mental retardation,12064,7480,1494,1547,17.0,7.0,117.4,3.0,25,3528,8864,197.0,40,133,291438.0,2005
F80-F99 Other mental and behavioural disorders,8468,5459,3829,1167,52.0,23.0,72.1,7.0,33,2608,5342,624.0,809,678,312733.0,2005
G00-G09 Inflammatory diseases of the central nervous system,3781,2765,2565,337,31.0,11.0,16.6,9.0,35,1510,2627,761.0,338,293,59582.0,2005
"G10-G13, G30-G32 Other degenerative diseases (incl. Alzheimer).",11699,7212,6535,1996,36.0,17.0,50.8,16.0,72,472,2321,4058.0,8964,730,474844.0,2005
G20-G26 Extrapyramidal & movement disorders (incl. Parkinsonism).,11245,7861,4767,4097,62.0,39.0,23.0,12.0,67,509,3227,4720.0,6310,3515,184305.0,2005
G35-G37 Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,16942,5977,3809,6621,30.0,14.0,14.2,5.0,46,91,16200,2459.0,382,7712,128688.0,2005
G40-G47 Epilepsy migraine & other episodic disorders,83861,54138,61573,12831,90.0,67.0,4.5,1.0,49,13647,49853,18495.0,20482,4329,342655.0,2005
G50-G73  G90-G99 Other diseases & disorders of the nervous syst.,93488,39004,11625,68953,108.0,83.0,9.3,2.0,54,3196,56663,24811.0,14880,62948,276879.0,2005
G80-G83 Cerebral palsy & other paralytic syndromes,14336,9400,6079,4019,91.0,63.0,27.6,7.0,49,4356,5185,3378.0,5242,3265,263087.0,2005
"H00-H06, H15-H22, H30-H36, H43-H5 Other disorders of the eye etc.",119666,58346,20983,92291,88.0,63.0,2.3,1.0,53,15576,45908,30960.0,29169,76807,98450.0,2005
H10-H13 Disorders of conjunctiva (including conjunctivitis),4993,2540,1282,3468,105.0,84.0,1.5,0.0,44,884,2665,990.0,529,3300,2495.0,2005
H25-H28 Disorders of lens (including cataracts),314651,120128,1054,270856,90.0,78.0,1.4,1.0,75,449,25803,100340.0,188688,295413,27967.0,2005
H40-H42 Glaucoma,13138,6262,1962,10394,47.0,35.0,2.0,1.0,67,211,3210,4949.0,4885,8419,9543.0,2005
H60-H95 Diseases of the ear and mastoid process,79019,43073,13665,63442,102.0,74.0,1.7,1.0,27,40991,27810,8018.0,4130,40019,68078.0,2005
I00-I09 Rheumatic heart disease,4037,1964,840,2674,92.0,74.0,13.3,9.0,65,72,1339,2169.0,1467,1341,38076.0,2005
I10-I15 Hypertensive diseases,27917,18731,9653,4339,48.0,22.0,7.5,2.0,63,301,11865,11544.0,9627,13520,107653.0,2005
I20-I25 Ischaemic heart diseases,311533,271326,169970,110862,88.0,73.0,7.1,4.0,68,32,110474,173884.0,136944,60920,1830984.0,2005
I26-I28 Pulmonary heart disease & diseases of pulmonary circulation,19832,13023,14922,1557,54.0,30.0,10.6,7.0,63,250,10424,9503.0,9684,2792,195509.0,2005
I30-I52 Other forms of heart disease,206393,157448,146527,42926,83.0,59.0,9.3,5.0,71,2149,54478,90792.0,148191,25658,1737604.0,2005
I60-I69 Cerebrovascular diseases,99268,81434,78661,7172,40.0,26.0,25.0,11.0,74,537,25423,48092.0,98084,964,2590292.0,2005
"I70-I79 Diseases of arteries, arterioles & capillaries",58189,45433,18582,31606,49.0,28.0,11.3,5.0,69,401,14747,28683.0,29132,8617,569119.0,2005
I80-I89 Diseases of veins & lymphatic system nec.,133666,68683,37413,79669,126.0,93.0,4.3,1.0,53,2811,88451,34911.0,20944,67444,290862.0,2005
I95-I99 Other & unspecified disorders of the circulatory system,11531,7629,9716,1033,69.0,20.0,9.7,5.0,76,55,1874,4069.0,11166,1052,110298.0,2005
J00-J06 Acute upper respiratory infections,84554,48127,78135,5271,121.0,95.0,1.2,1.0,11,65935,17639,1940.0,1992,1240,96955.0,2005
J10-J18 Influenza & pneumonia,102517,83182,96838,1454,16.0,6.0,12.3,6.0,66,14064,30108,32737.0,84565,1026,1267948.0,2005
J20-J22 Other acute lower respiratory infections,104401,67870,100028,1098,22.0,7.0,7.4,3.0,54,33909,24851,22785.0,58236,596,779505.0,2005
J30-J39 Other diseases of upper respiratory tract,126949,68259,10830,113470,130.0,106.0,1.4,1.0,31,36264,76651,11884.0,3498,24655,138567.0,2005
J40-J47 Chronic lower respiratory diseases,192313,133083,179493,5599,35.0,11.0,7.0,4.0,59,29264,67586,87310.0,90967,5389,1319617.0,2005
J60-J70 Lung diseases due to external agents,7625,7889,6862,231,26.0,9.0,18.5,10.0,72,336,2429,3024.0,8022,164,151224.0,2005
J80-J99 Other diseases of the respiratory system,49646,41107,33237,8900,23.0,8.0,10.3,6.0,62,3102,21512,22256.0,24266,5950,463621.0,2005
"K00-K14 Diseases of oral cavity, salivary glands & jaws",176173,79940,10306,155114,93.0,70.0,2.0,1.0,29,53764,105041,13091.0,5742,143317,58236.0,2005
K20-K31 Diseases of oesophagusstomach & duodenum,248134,155635,46118,129397,55.0,33.0,7.1,3.0,59,8702,132822,89823.0,71601,190425,472301.0,2005
K35-K38 Diseases of appendix,37260,22444,36114,795,76.0,54.0,4.1,3.0,29,9719,28437,2191.0,879,48,154554.0,2005
K40-K46 Hernia,154680,112288,17355,124164,113.0,84.0,3.3,2.0,55,11098,72343,47689.0,30662,80193,246584.0,2005
K50-K52 Noninfective enteritis & colitis,131413,68364,70748,37731,63.0,37.0,6.0,2.0,46,22194,79953,26086.0,29587,50256,486590.0,2005
K55-K63 Other diseases of intestines,251776,132463,104777,102982,67.0,42.0,7.0,3.0,58,16556,115916,75209.0,82401,118272,923112.0,2005
K65-K67 Diseases of peritoneum,6388,3288,4125,1949,92.0,63.0,11.4,7.0,56,229,4382,1879.0,2054,664,68935.0,2005
K70-K77 Diseases of liver,24263,23470,14720,5574,39.0,21.0,12.6,8.0,53,475,25350,9677.0,3155,4647,265104.0,2005
"K80-K87 Disorders of gall bladder, biliary tract & pancreas",123744,56953,63129,53844,112.0,79.0,6.1,3.0,57,567,82014,40931.0,31920,8576,710879.0,2005
K90-K93 Other diseases of the digestive system,56362,42980,41769,8775,50.0,30.0,6.6,3.0,60,3083,31718,18343.0,28306,11257,267064.0,2005
L00-L14  L55-L99 Other infections and disorders of the skin,240954,137889,103199,125110,84.0,56.0,7.5,2.0,50,18876,149716,49016.0,52907,112460,966335.0,2005
L20-L30 Dermatitis and eczema,9289,4922,5756,2712,41.0,22.0,5.0,2.0,37,3536,3800,1526.0,1411,2011,36050.0,2005
L40-L45 Papulosquamous disorders (including Psoriasis),9374,4639,1288,5952,38.0,14.0,12.7,10.0,50,267,6562,2188.0,804,5438,50174.0,2005
L50-L54 Urticaria and erythems,4641,2514,4097,326,41.0,17.0,2.8,1.0,30,2160,2083,536.0,437,297,12147.0,2005
M00-M25 Arthropathies,382076,171262,41646,299090,162.0,152.0,6.3,5.0,57,13429,177000,126926.0,79410,140080,1523121.0,2005
M30-M36 Systemic connective tissue disorders,14118,4763,3930,4904,30.0,13.0,9.6,4.0,51,1238,8488,4084.0,2522,6930,70576.0,2005
M40-M54 Dorsopathies,174678,77954,41472,92389,96.0,68.0,6.7,3.0,55,2671,107229,45704.0,30746,99777,494003.0,2005
M60-M79 Soft tissue disorders,154263,74117,58635,85061,138.0,115.0,2.4,1.0,55,5206,87756,42069.0,26756,59450,230022.0,2005
M80-M94 Osteopathies and chondropathies,42439,20145,10833,22261,103.0,69.0,8.9,3.0,53,4206,20774,9956.0,11889,15759,241209.0,2005
M95-M99 Other disorders of the musculoskeletal system & conn. tiss.,4027,2156,542,3022,159.0,143.0,7.4,2.0,46,118,2940,592.0,625,829,23698.0,2005
"N00-N08, N10-N16 Diseases of the kidney",32754,17927,17210,9951,60.0,35.0,5.8,3.0,46,3945,22186,7856.0,5973,7570,148777.0,2005
N17-N19 Renal failure,75362,53080,20242,13715,28.0,11.0,11.4,5.0,63,2899,28453,29799.0,32837,41823,390667.0,2005
N20-N23 Urolithiasis,59871,47725,26395,25729,52.0,32.0,2.9,2.0,50,435,47956,14663.0,4826,20651,115756.0,2005
N25-N29 Other disorders of kidney & ureter,3901,2401,1129,2160,59.0,33.0,5.7,3.0,50,623,1994,1129.0,769,1043,16582.0,2005
N30-N39 Other diseases of the urinary system,181532,90332,82940,77837,82.0,54.0,8.9,3.0,62,14519,66892,48048.0,91863,61913,1098853.0,2005
N40-N51 Diseases of male genital organs,110732,115768,24316,78211,98.0,69.0,3.1,2.0,48,20157,44284,31057.0,20075,54606,175967.0,2005
N60-N64 Disorders of breast,24277,2766,3816,19697,90.0,41.0,2.2,2.0,43,364,20690,2878.0,790,10116,31067.0,2005
N70-N77 Inflammatory diseases of female pelvic organs,24948,0,11793,12269,82.0,59.0,2.7,1.0,36,425,23952,1164.0,629,7639,46337.0,2005
N80-N98 Noninflammatory disorders of female genital tract,245779,0,30942,199914,81.0,55.0,2.9,2.0,45,1411,199205,30419.0,12095,132444,333589.0,2005
N99 Other disorders of the genitourinary system,2908,875,605,2112,107.0,80.0,5.7,4.0,56,191,1438,1133.0,495,568,13058.0,2005
O00-O08 Pregnancy with abortive outcome,159385,0,65621,69118,8.0,5.0,1.2,1.0,31,516,144383,9.0,4644,72147,97450.0,2005
"O10-O75, O85-O92, O95-O99 Complications of labour and delivery",986512,0,73530,17138,15.0,2.0,1.8,1.0,28,512,1009238,18.0,200,16174,1717088.0,2005
O80-O84 Delivery,105744,0,406,736,18.0,11.0,1.8,1.0,28,36,106381,2.0,9,6,187897.0,2005
P00-P04 Complications of fetus/neonate affected by maternal,5371,3245,81,10,16.0,9.0,3.4,2.0,0,6214,12,0.0,1,8,18744.0,2005
P05-P96 Other conditions originating in the perinatal period,151739,98552,20477,1809,77.0,42.0,6.7,3.0,0,178106,232,2.0,10,1492,1027889.0,2005
Q00-Q89 Congenital malformations,95271,59521,9211,54898,112.0,83.0,4.7,2.0,11,79315,20544,2506.0,1259,29352,278144.0,2005
Q90-Q99 Chromosomal abnormalities nec.,1712,948,247,437,60.0,23.0,14.2,2.0,13,1171,678,26.0,2,398,10265.0,2005
R00-R09 Symptoms & signs inv. the circulatory/respiratory system,361095,218980,309968,38774,80.0,52.0,2.4,1.0,56,31363,183649,110894.0,94546,32864,770772.0,2005
R10-R19 Symptoms & signs inv. the digestive system & abdomen,351717,139266,241775,70885,59.0,37.0,3.1,1.0,45,38910,232493,65745.0,55711,84225,817192.0,2005
R20-R23 Symptoms & signs inv. the skin & subcutaneous tissue,32696,16299,23497,7514,73.0,41.0,1.8,1.0,35,11738,14588,4817.0,3723,5621,49942.0,2005
R25-R29 Symptoms & signs inv. the nervous & musculoskeletal sys.,19296,10440,11203,3065,48.0,30.0,10.7,3.0,52,5839,5308,3602.0,8865,2396,175210.0,2005
R30-R39 Symptoms & signs involving the urinary system,119811,91380,38168,62022,53.0,34.0,4.3,2.0,63,2757,44611,41090.0,42300,68612,218413.0,2005
"R40-R46 Symptoms & signs inv. Cognition, perception etc.",40275,23407,37091,1462,51.0,28.0,9.0,3.0,71,1117,10725,11542.0,29798,969,320190.0,2005
R47-R49 Symptoms & signs inv. speech & voice,6298,3711,2931,2579,46.0,29.0,7.4,1.0,63,248,2535,2178.0,2383,1726,27228.0,2005
R50-R68 General symptoms & signs,256211,141675,216857,24377,44.0,21.0,5.8,1.0,55,46155,98588,49197.0,116912,20069,1310854.0,2005
R69 Unknown & unspecified causes of morbidity,266025,132175,117925,79434,75.0,35.0,16.0,2.0,52,30254,133341,60747.0,80052,55970,2799474.0,2005
R70-R89 Abnormal findings of bodily fluids or samples without diag.,27568,13670,4539,16434,41.0,30.0,3.1,1.0,53,662,15755,8256.0,4292,19300,25484.0,2005
R90-R94 Abnormal findings on diagnostic imaging/function studies,19643,11866,3337,11126,28.0,10.0,5.0,2.0,61,701,8065,8047.0,5157,12108,38186.0,2005
R95-R99 Ill-defined & unknown causes of mortality,10,7,5,0,0.0,0.0,11.7,2.0,35,5,3,1.0,3,0,83.0,2005
S00-S09 Injuries to the head,137105,98291,117059,14074,17.0,5.0,3.4,1.0,38,34066,77084,10994.0,26905,9641,426771.0,2005
S10-S19 Injuries to the neck,6669,4730,5807,213,48.0,19.0,11.1,2.0,44,543,5016,846.0,1219,61,72505.0,2005
S20-S29 Injuries to the thorax,14330,11011,13534,134,47.0,13.0,8.2,3.0,55,482,9208,2825.0,5147,31,117850.0,2005
"S30-S39 Injuries to abdomen, lower back, lumbar spine & pelvis",26030,14879,23355,501,52.0,21.0,11.4,4.0,55,2797,13765,3338.0,12488,173,296446.0,2005
S40-S49 Injuries to the shoulder & upper arm,30614,16652,26864,2036,35.0,6.0,7.8,2.0,53,6014,11586,5325.0,12833,211,236062.0,2005
S50-S59 Injuries to the elbow & forearm,62816,35157,56383,3787,14.0,2.0,3.5,1.0,38,22676,25270,7809.0,12063,1101,216714.0,2005
S60-S69 Injuries to the wrist & hand,68672,52963,55661,7444,27.0,3.0,1.6,1.0,34,9924,52430,4741.0,3964,4189,104701.0,2005
S70-S79 Injuries to the hip & thigh,79567,27965,70036,1431,45.0,9.0,23.8,15.0,77,2984,8880,14310.0,76183,87,1891584.0,2005
S80-S89 Injuries to the knee & lower leg,65639,38663,57485,4824,65.0,21.0,8.5,4.0,47,7486,40600,10289.0,15463,1882,544382.0,2005
S90-S99 Injuries to the ankle & foot,13267,8600,11827,828,48.0,7.0,5.1,2.0,42,2057,8791,1643.0,2231,325,65435.0,2005
T00-T07 Injuries involving multiple body regions,1699,1053,1548,47,29.0,5.0,11.0,2.0,46,290,1008,213.0,488,7,18000.0,2005
T08-T14 Injuries to unspecified part of trunk limb or body,5470,2980,4891,297,67.0,25.0,5.9,1.0,51,808,2654,656.0,2021,188,31263.0,2005
T15-T19 Effects of foreign body entering through natural orifice,11955,7412,8795,2626,15.0,6.0,1.2,1.0,28,6097,4490,1170.0,1064,2281,11776.0,2005
T20-T32 Burns and corrosions,8977,6179,6697,372,17.0,4.0,5.9,1.0,28,3880,4309,606.0,777,93,52639.0,2005
T33-T35 Frostbite,24,31,17,2,42.0,42.0,16.5,3.0,48,1,26,3.0,3,0,505.0,2005
T36-T50 Poisonings by drugs medicaments & biological substances,93907,45046,92790,132,56.0,22.0,1.6,1.0,34,8160,90677,4858.0,4003,43,156241.0,2005
T51-T65 Tox. effcts. of substnces. chiefly non-medicinal as to source,7614,4675,6846,159,152.0,153.0,1.9,1.0,35,2049,4989,759.0,586,615,13320.0,2005
T66-T78 Other and unspecified effects of external causes,9997,5278,8880,580,84.0,35.0,1.9,1.0,37,2906,5346,1268.0,1355,824,17905.0,2005
T79 Certain early complications of trauma,2380,1915,1914,343,79.0,35.0,6.9,3.0,43,252,1854,347.0,370,103,15776.0,2005
T80-T88 Complications of surgical & medical care nec.,123022,72734,72189,39924,90.0,49.0,8.6,3.0,56,8125,60134,40495.0,35354,12738,950252.0,2005
T90-T98 Sequelae of injuriesof poisoning & other consequences,539,302,136,286,127.0,104.0,15.5,3.0,48,50,322,68.0,130,144,5375.0,2005
Z00-Z13 Examination and investigation,205781,115690,17590,73923,93.0,49.0,2.2,1.0,54,23204,78989,60536.0,46616,157475,113252.0,2005
Z20-Z29 Potential health hazards related to communicable diseases,7407,4225,362,2149,19.0,7.0,1.8,1.0,16,5765,792,587.0,575,3289,7583.0,2005
Z30-Z39 Health services in circumstances related to reproduction,622691,237984,6051,58472,89.0,67.0,1.4,1.0,10,428484,201470,116.0,190,62570,796160.0,2005
Z40-Z54 Persons encountering health services for specific care,126493,73578,10830,78386,77.0,39.0,8.5,2.0,52,14846,59281,29951.0,30097,56091,574135.0,2005
Z55-Z65 Potential health hazards reltd. to socioeconomic & psychosoc.l,899,420,583,188,29.0,7.0,11.8,1.0,33,363,382,72.0,158,144,9433.0,2005
Z70-Z76 Persons encountering health services in other circs.,52044,30399,10315,10965,71.0,19.0,7.9,3.0,33,26764,17223,5386.0,11117,3302,391729.0,2005
Z80-Z99 Persons with potential health hazards related to family,11124,5713,874,4920,85.0,43.0,10.3,2.0,48,1866,4995,2594.0,2080,7275,36397.0,2005
A00-A09 Intestinal infectious diseases,48720,28546,45001,2231,42.0,29.0,6.7,1.0,38,27277,11552,7254.0,15995,2498,312140.0,2006
A15-A19 Tuberculosis,4373,4259,2844,929,26.0,7.0,16.9,9.0,42,265,5107,945.0,699,729,67815.0,2006
A20-A49 Certain bacterial diseases,24225,20179,21824,726,22.0,7.0,13.6,7.0,63,4144,8719,9228.0,18024,505,350105.0,2006
A50-A64 Infections with predominantly sexual mode of transmission,2620,1239,551,1800,86.0,56.0,3.5,1.0,40,89,2109,167.0,197,1596,3610.0,2006
A65-A79 Other infectious and parasitic disorders,458,297,157,222,35.0,8.0,2.9,1.0,44,42,308,110.0,25,261,577.0,2006
A80-A89 Viral infections of the central nervous system,2850,1804,2610,78,30.0,16.0,6.7,3.0,32,584,3041,266.0,123,88,19362.0,2006
A90-A99 Arthropod-borne viral fevers & viral haemorrhagic fevers,57,44,50,2,89.0,89.0,3.3,3.0,37,5,64,8.0,0,2,193.0,2006
B00-B09 Viral infections characterized by skin & mucous mem. lesns.,12109,6702,8599,2830,66.0,48.0,4.7,1.0,34,5931,3959,1514.0,2299,2855,44390.0,2006
B15-B19 Viral hepatitis,6149,4669,1208,2632,49.0,38.0,4.3,1.0,43,167,5833,676.0,124,3688,10861.0,2006
B20-B24 Human imrnunodeficiency virus [HIV] disease,6086,5507,2866,1025,14.0,1.0,12.3,5.0,40,155,7016,352.0,47,2285,48013.0,2006
B25-B34 Other viral diseases,46989,27306,46009,405,22.0,5.0,1.2,1.0,13,35491,12476,1469.0,799,381,56232.0,2006
B35-B49 Mycoses,3895,2180,1884,1323,35.0,18.0,6.7,1.0,48,874,1952,1025.0,946,1540,16220.0,2006
B50-B64 Protozoal diseases,2442,2117,1962,72,18.0,8.0,4.6,3.0,36,266,2668,240.0,61,320,10374.0,2006
B65-B83 Helminthiases,471,264,228,169,50.0,36.0,4.1,2.0,30,153,334,38.0,9,150,1353.0,2006
B85-B99 Other infectious and parasitic diseases,767,443,577,144,46.0,41.0,7.5,2.0,51,198,308,156.0,303,139,4754.0,2006
C00-C14 Malignant neoplasm of liporal cavity and pharynx,15911,12498,2316,8975,18.0,11.0,7.8,3.0,59,242,8844,6470.0,2287,4112,92266.0,2006
C15-C26 Malignant neoplasm of digestive organs,245075,172134,32896,86804,17.0,10.0,10.6,7.0,67,578,70658,133244.0,77434,154136,995963.0,2006
C30-C39 Malignant neoplasms of respiratory & intrathoracic organs,90444,65709,22503,27837,12.0,7.0,10.0,6.0,67,250,26021,54063.0,28738,50107,430001.0,2006
C40-C41 Malignant neoplasm of bone and articular cartilage,5941,3497,954,2023,20.0,11.0,6.7,4.0,30,1911,3438,615.0,362,1365,30547.0,2006
C43-C44 Malignant neoplasms of skin,80223,45110,1315,71056,46.0,32.0,4.2,2.0,71,79,16429,27151.0,37310,66736,56475.0,2006
C45-C49 Malignant neoplasms of mesothelial and soft tissue,14626,9573,2876,5252,17.0,10.0,7.3,4.0,57,1502,5296,6456.0,3012,6149,61935.0,2006
C50 Malignant neoplasm of breast,154785,793,7468,61909,20.0,14.0,4.9,3.0,56,2,98180,45960.0,13605,108605,221905.0,2006
C51-C58 Malignant neoplasms of female genital organs,59484,0,7217,23487,20.0,13.0,7.2,4.0,62,161,24712,26545.0,11529,32492,195882.0,2006
C60-C63 Malignant neoplasms of male genital organs,51138,55748,7573,25772,33.0,21.0,7.1,4.0,68,90,11135,24605.0,19893,26543,178086.0,2006
C64-C68 Malignant neoplasms of urinary tract,93626,73361,7105,47146,36.0,24.0,6.1,2.0,70,2083,14446,41721.0,41737,49337,269585.0,2006
"C69-C72 Malignant neoplasms of eye, brain & other parts of CNS",17910,11895,5321,4906,22.0,10.0,11.2,6.0,39,6698,7901,4521.0,1716,7146,124137.0,2006
"C73-C80, C97 Malignant neoplsm. of thyroid and oth. endo. Glands etc.",95875,44072,24565,28545,18.0,9.0,9.3,5.0,62,2835,38582,45608.0,25307,45601,489913.0,2006
"C81-C96 Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",239416,146516,23941,74131,15.0,6.0,9.5,4.0,56,20725,95742,89690.0,45678,186366,513323.0,2006
D00-D48 In situ & benign neoplasms and others of uncertainty,277430,124849,14936,196455,65.0,40.0,4.9,2.0,55,10030,146077,73504.0,58134,195173,406032.0,2006
D50-D64 Anaemias,144589,70743,37928,59707,32.0,17.0,5.5,2.0,60,9277,60343,40339.0,59452,93641,281319.0,2006
D65-D89 Diseases of the blood and blood-forming organs,59206,34167,17678,15565,19.0,7.0,5.6,3.0,47,10625,29742,16277.0,7807,35995,130555.0,2006
E00-E07 Disorders of thyroid gland,11346,2454,1963,8467,80.0,61.0,4.1,2.0,50,656,7749,2555.0,1513,1897,38231.0,2006
E10-E14 Diabetes Mellitus,55916,41182,34937,14582,40.0,26.0,7.7,3.0,50,5989,36870,17578.0,13122,16593,309749.0,2006
E15-E90 Endocrine nutritional and metabolic diseases,107003,63066,43405,31880,48.0,17.0,7.4,3.0,53,14880,53941,26717.0,31350,48105,436035.0,2006
F00-F03 Dementia,16983,9992,10522,1507,73.0,7.0,71.4,28.0,81,0,433,3788.0,19262,285,987479.0,2006
F04-F09 Other organic including symptomatic mental disorders,4050,2574,3243,211,63.0,19.0,42.1,14.0,72,30,1206,1042.0,3504,38,131686.0,2006
F10-F19 Mental and behavioural disorders due to psychoactive subst.,47886,41751,39543,4568,24.0,10.0,8.6,2.0,41,2190,49564,5685.0,1305,73,381676.0,2006
"F20-F29 Schizophrenia, schizotypal and delusional disorders",28715,21474,21113,1467,407.0,13.0,110.6,36.0,41,135,29165,3159.0,1519,59,2232724.0,2006
F30-F39 Mood [affective] disorders,36338,16408,26347,1926,234.0,7.0,50.5,23.0,52,138,25959,7680.0,5986,445,1591962.0,2006
"F40-F69 Neurotic, bahavioural & personality disorders",23628,9512,17045,2614,73.0,46.0,31.9,6.0,43,846,19748,2864.0,2614,1070,578506.0,2006
F70-F79 Mental retardation,9889,6190,857,1103,14.0,7.0,130.7,3.0,25,2916,6646,177.0,41,266,272637.0,2006
F80-F99 Other mental and behavioural disorders,10502,6801,4664,1451,54.0,26.0,68.1,6.0,36,2283,6830,942.0,1074,776,412543.0,2006
G00-G09 Inflammatory diseases of the central nervous system,4565,3316,3029,422,36.0,14.0,15.8,8.0,35,1910,3044,941.0,447,496,65835.0,2006
"G10-G13, G30-G32 Other degenerative diseases (incl. Alzheimer).",11590,7758,6470,2174,38.0,19.0,47.3,15.0,72,457,2587,4273.0,9216,928,447443.0,2006
G20-G26 Extrapyramidal & movement disorders (incl. Parkinsonism).,12803,8635,4941,4671,53.0,21.0,21.7,9.0,66,717,3891,5194.0,7015,5028,173633.0,2006
G35-G37 Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,18934,6864,3687,8668,27.0,12.0,13.2,4.0,46,121,18111,2734.0,441,9954,116991.0,2006
G40-G47 Epilepsy migraine & other episodic disorders,93035,60381,67078,15987,78.0,61.0,3.6,1.0,48,15128,56886,20554.0,22172,7236,308070.0,2006
G50-G73  G90-G99 Other diseases & disorders of the nervous syst.,100523,44058,13704,70778,95.0,82.0,8.9,2.0,55,3577,60073,27641.0,16918,67967,291145.0,2006
